Customer_Name,Gender,Salary,Area,Sub_category,Brand,Price,Quantity,Order Date,Recency,History,Offer,Profit
James Butt,Male,52032.7,Surburban,Sports Cloths,York,2999,1,08-11-2016,10,3467.1,69,41.9136
Josephine Darakjy,Female,35753.37,Rural,Sports Cloths,York,1499,1,08-11-2016,6,3542.7,66,219.582
Art Venere,Male,64486.29,Surburban,Sports Cloths,York,2999,1,12-06-2016,7,6019.3,68,6.8714
Lenna Paprocki,Male,57025.66,Rural,Sports Cloths,York,2999,1,11-10-2015,9,2422,69,-383.031
Donette Foller,Male,57130.99,Urban,Sports Cloths,York,2999,1,11-10-2015,2,18638.9,68,2.5164
Mitsue Tollner,Male,54658.43,Surburban,Sports Cloths,York,1499,1,09-06-2014,9,4285.4,68,1.9656
Leota Dilliard,Female,57035.71,Urban,Sports Cloths,York,1499,1,09-06-2014,9,782.6,63,90.7152
Sage Wieser,Male,61204.3,Rural,Sports Cloths,York,1499,1,09-06-2014,9,10080.7,67,5.7825
Kris Marrier,Male,37753.52,Urban,Sports Cloths,York,1499,1,09-06-2014,10,31354.4,64,34.47
Abel Maclead,Male,56802.52,Urban,Sports Cloths,York,1800,1,09-06-2014,1,7193.2,49,68.3568
Kiley Caldarera,Male,36402.71,Surburban,Sports Cloths,York,1800,1,15-04-2017,5,6410.6,49,5.4432
Graciela Ruta,Male,53638.31,Urban,Sports Cloths,York,2700,1,05-12-2016,2,1990.1,61,132.5922
Cammy Albares,Female,57560.47,Rural,Sports Cloths,York,2700,1,22-11-2015,4,3922.8,61,-123.858
Mattie Poquette,Male,36605.04,Urban,Sports Cloths,York,1800,1,22-11-2015,3,258.3,48,-3.816
Meaghan Garufi,Male,63237.77,Surburban,Sports Cloths,York,2700,1,11-11-2014,5,620.2,61,13.3176
Gladys Rim,Male,64245.13,Rural,Sports Cloths,York,2700,1,13-05-2014,9,4168.5,61,9.99
Yuki Whobrey,Male,57898.19,Surburban,Sports Cloths,York,2700,1,27-08-2014,11,9299.5,61,2.4824
Fletcher Flosi,Female,56155.53,Surburban,Sports Cloths,York,2999,1,27-08-2014,5,2918.3,69,16.011
Bette Nicka,Male,57656.82,Surburban,Sports Cloths,York,1799,2,27-08-2014,9,16429,70,7.384
Veronika Inouye,Female,46895.6,Surburban,Sports Cloths,York,1499,1,09-12-2016,11,6120.8,67,5.0596
Willard Kolmetz,Male,56288.2,Surburban,Sports Cloths,York,1799,1,09-12-2016,2,10705.1,70,15.6884
Alisha Slusarski,Male,56456.1,Surburban,Sports Cloths,York,1799,1,25-09-2015,4,826,71,240.2649
Allene Iturbide,Female,58303.82,Rural,Sports Cloths,York,1799,1,16-01-2016,6,3425.1,70,4.2224
Chanel Caudy,Male,51031.31,Surburban,Sports Cloths,York,1799,1,16-01-2016,12,11846.1,71,11.7741
Willow Kusko,Female,11422.23,Urban,Sports Cloths,York,1499,1,17-09-2015,7,25907.7,67,-7.0532
Bernardo Figeroa,Male,48098.28,Rural,Sports Cloths,York,1499,1,17-09-2015,2,14139.3,67,15.525
Ammie Corrio,Male,52061.53,Surburban,Sports Cloths,York,1499,1,17-09-2015,2,5887,66,1.1016
Francine Vocelka,Male,55894.62,Urban,Sports Cloths,York,1499,1,17-09-2015,9,13898.5,66,9.7092
Ernie Stenseth,Male,19937.96,Urban,Sports Cloths,York,2999,1,17-09-2015,6,7351.4,68,-5.715
